tag,version
12.04,12.04.5
12.04.5,12.04.5
14.04,14.04.6
14.04.4,14.04.4
14.04.5,14.04.5
15.10,15.10
16.04,16.04.7
16.10,16.10
17.10,17.10
18.04,18.04.6
18.10,18.10
19.04,19.04
19.10,19.10
20.04,20.04.6
20.10,20.10
21.04,21.04
21.10,21.10
22.04,22.04.5
22.10,22.10
23.04,23.04
23.10,23.10
24.04,24.04.4
24.10,24.10
25.04,25.04
25.10,25.10
26.04,26.04
artful,17.10
artful-20170511.1,17.10
artful-20170601,17.10
artful-20170619,17.10
artful-20170716,17.10
artful-20170728,17.10
artful-20170826,17.10
artful-20170916,17.10
artful-20171006,17.10
artful-20171019,17.10
artful-20171116,17.10
artful-20180112,17.10
artful-20180123,17.10
artful-20180227,17.10
artful-20180412,17.10
artful-20180417,17.10
artful-20180524,17.10
artful-20180706,17.10
bionic-20171114,18.04
bionic-20171214,18.04
bionic-20171220,18.04
bionic-20180125,18.04
bionic-20180224,18.04
bionic-20180410,18.04
bionic-20180426,18.04
bionic-20180526,18.04
bionic-20180710,18.04
bionic-20180821,18.04.1
bionic-20181018,18.04.1
bionic-20181112,18.04.1
bionic-20181204,18.04.1
bionic-20190122,18.04.1
bionic-20190204,18.04.1
bionic-20190307,18.04.2
bionic-20190424,18.04.2
bionic-20190515,18.04.2
bionic-20190612,18.04.2
bionic-20190718,18.04.2
bionic-20190807,18.04.3
bionic-20190912.1,18.04.3
bionic-20191010,18.04.3
bionic-20191029,18.04.3
bionic-20191202,18.04.3
bionic-20200112,18.04.3
bionic-20200219,18.04.4
bionic-20200311,18.04.4
bionic-20200403,18.04.4
bionic-20200526,18.04.4
bionic-20200630,18.04.4
bionic-20200713,18.04.4
bionic-20200903,18.04.5
bionic-20200921,18.04.5
bionic-20201119,18.04.5
bionic-20210118,18.04.5
bionic-20210222,18.04.5
bionic-20210325,18.04.5
bionic-20210416,18.04.5
bionic-20210615.1,18.04.5
bionic-20210702,18.04.5
bionic-20210723,18.04.5
bionic-20210827,18.04.5
bionic-20210930,18.04.6
bionic-20220105,18.04.6
bionic-20220128,18.04.6
bionic-20220301,18.04.6
bionic-20220315,18.04.6
bionic-20220401,18.04.6
bionic-20220415,18.04.6
bionic-20220427,18.04.6
bionic-20220531,18.04.6
bionic-20220801,18.04.6
bionic-20220829,18.04.6
bionic-20220902,18.04.6
bionic-20220913,18.04.6
bionic-20221019,18.04.6
bionic-20221130,18.04.6
bionic-20221215,18.04.6
bionic-20230126,18.04.6
bionic-20230301,18.04.6
bionic-20230308,18.04.6
bionic-20230412,18.04.6
bionic-20230530,18.04.6
cosmic-20180605,18.10
cosmic-20180716,18.10
cosmic-20180725,18.10
cosmic-20180821,18.10
cosmic-20180905,18.10
cosmic-20181018,18.10
cosmic-20181114,18.10
cosmic-20181219,18.10
cosmic-20190122,18.10
cosmic-20190131,18.10
cosmic-20190311,18.10
cosmic-20190515,18.10
cosmic-20190614,18.10
cosmic-20190719,18.10
devel,26.04
disco,19.04
disco-20181112,19.04
disco-20181220,19.04
disco-20190118,19.04
disco-20190204,19.04
disco-20190310,19.04
disco-20190423,19.04
disco-20190515,19.04
disco-20190809,19.04
disco-20190913,19.04
disco-20191011,19.04
disco-20191030,19.04
disco-20191127,19.04
disco-20200114,19.04
eoan,19.10
eoan-20190508,19.10
eoan-20190614,19.10
eoan-20190717.1,19.10
eoan-20190813,19.10
eoan-20190916,19.10
eoan-20191017,19.10
eoan-20191101,19.10
eoan-20191127,19.10
eoan-20200207,19.10
eoan-20200313,19.10
eoan-20200410,19.10
focal,20.04.6
focal-20191030,20.04
focal-20191129,20.04
focal-20200115,20.04
focal-20200319,20.04
focal-20200423,20.04
focal-20200606,20.04
focal-20200703,20.04
focal-20200720,20.04
focal-20200729,20.04.1
focal-20200916,20.04.1
focal-20200925,20.04.1
focal-20201008,20.04.1
focal-20210119,20.04.1
focal-20210217,20.04.2
focal-20210401,20.04.2
focal-20210416,20.04.2
focal-20210609,20.04.2
focal-20210713,20.04.2
focal-20210723,20.04.2
focal-20210827,20.04.3
focal-20210921,20.04.3
focal-20211006,20.04.3
focal-20220105,20.04.3
focal-20220113,20.04.3
focal-20220302,20.04.4
focal-20220316,20.04.4
focal-20220404,20.04.4
focal-20220415,20.04.4
focal-20220426,20.04.4
focal-20220531,20.04.4
focal-20220801,20.04.4
focal-20220826,20.04.5
focal-20220922,20.04.5
focal-20221019,20.04.5
focal-20221130,20.04.5
focal-20230126,20.04.5
focal-20230301,20.04.5
focal-20230308,20.04.5
focal-20230412,20.04.6
focal-20230605,20.04.6
focal-20230624,20.04.6
focal-20230801,20.04.6
focal-20231003,20.04.6
focal-20231128,20.04.6
focal-20231211,20.04.6
focal-20240123,20.04.6
focal-20240216,20.04.6
focal-20240410,20.04.6
focal-20240416,20.04.6
focal-20240427,20.04.6
focal-20240530,20.04.6
focal-20240918,20.04.6
focal-20241011,20.04.6
focal-20250404,20.04.6
groovy,20.10
groovy-20200505,20.10
groovy-20200609,20.10
groovy-20200704,20.10
groovy-20200723,20.10
groovy-20200812,20.10
groovy-20200911,20.10
groovy-20200921,20.10
groovy-20201022.1,20.10
groovy-20201125.2,20.10
groovy-20210115,20.10
groovy-20210225,20.10
groovy-20210325,20.10
groovy-20210325.1,20.10
groovy-20210416,20.10
groovy-20210514,20.10
groovy-20210524,20.10
groovy-20210614,20.10
groovy-20210713,20.10
groovy-20210723,20.10
hirsute,21.04
hirsute-20201119,21.04
hirsute-20210119,21.04
hirsute-20210401,21.04
hirsute-20210422,21.04
hirsute-20210514,21.04
hirsute-20210522,21.04
hirsute-20210711,21.04
hirsute-20210723,21.04
hirsute-20210825,21.04
hirsute-20210917,21.04
hirsute-20211107,21.04
impish-20210519,21.10
impish-20210606,21.10
impish-20210711,21.10
impish-20210722,21.10
impish-20210928,21.10
impish-20211015,21.10
impish-20211102,21.10
impish-20220105,21.10
impish-20220128,21.10
impish-20220301,21.10
impish-20220316,21.10
impish-20220404,21.10
impish-20220415,21.10
impish-20220427,21.10
impish-20220531,21.10
jammy-20211122,22.04
jammy-20220130,22.04
jammy-20220301,22.04
jammy-20220315,22.04
jammy-20220404,22.04
jammy-20220421,22.04
jammy-20220428,22.04
jammy-20220531,22.04
jammy-20220801,22.04.1
jammy-20220815,22.04.1
jammy-20221003,22.04.1
jammy-20221020,22.04.1
jammy-20221101,22.04.1
jammy-20221130,22.04.1
jammy-20230126,22.04.1
jammy-20230301,22.04.2
jammy-20230308,22.04.2
jammy-20230425,22.04.2
jammy-20230522,22.04.2
jammy-20230605,22.04.2
jammy-20230804,22.04.3
